Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer
WET,55.73786259,71.53245898,30.98683663,WET-1_WET-7,ARM_DUB_NOM_EON,ARM-WET_DUB-WET_NOM-WET_EON-WET,ARM-WET-1_DUB-WET-1_NOM-WET-1_NOM-WET-7_EON-WET-7,ARM-1_DUB-1_NOM-1_NOM-7_EON-7,0,inner
GIN,-90.01991741,31.45906698,17.70368663,GIN-6_GIN-4,BED_LAX_ZZZ,BED-GIN_GIN-LAX_GIN-ZZZ,BED-GIN-4_GIN-LAX-6_GIN-ZZZ-6,BED-4_LAX-6_ZZZ-6,0,inner
LAM,-49.51198841,-46.33818502,61.93299363,LAM-12,ACT_BUG_LAB_TAU,ACT-LAM_BUG-LAM_LAB-LAM_LAM-TAU,ACT-LAM-12_BUG-LAM-12_LAB-LAM-12_LAM-TAU-12,ACT-12_BUG-12_LAB-12_TAU-6,0,outer
PHI,72.03006459,-102.675703,5.518761628,PHI-11_PHI-8,SEX_EAR_WAS_GEL,PHI-SEX_EAR-PHI_PHI-WAS_GEL-PHI,EAR-PHI-11_PHI-WAS-11_PHI-SEX-8_GEL-PHI-10,EAR-11_WAS-11_SEX-8_GEL-10,0,outer
OIL,-55.28968041,101.814954,-2.314150372,OIL-3_OIL-5,FLY_RUM_VOW_SHY,FLY-OIL_OIL-RUM_OIL-VOW_OIL-SHY,FLY-OIL-3_OIL-RUM-3_FLY-OIL-5_OIL-RUM-5_OIL-VOW-5_OIL-SHY-5,FLY-3_RUM-3_FLY-5_RUM-5_VOW-5_SHY-5,0,inner
NIL,25.22632359,54.72796798,52.16379663,NIL-5_NIL-7,JOB_JUG_TOY_ERA_YES,JOB-NIL_JUG-NIL_NIL-TOY_ERA-NIL_NIL-YES,JOB-NIL-5_JUG-NIL-5_NIL-TOY-5_NIL-TOY-7_ERA-NIL-7_NIL-YES-7,JOB-5_JUG-5_TOY-5_TOY-7_ERA-7_YES-7,0,inner
EYE,97.34155959,14.98342398,16.20123563,EYE-7,SUN_FIX_IVY_POP,EYE-SUN_EYE-FIX_EYE-IVY_EYE-POP,EYE-SUN-7_EYE-FIX-7_EYE-IVY-7_EYE-POP-7,SUN-7_FIX-7_IVY-7_POP-7,0,outer
ELF,42.59283659,109.975758,-1.147938372,ELF-1,PIE_GAL_WAR_HOW,ELF-PIE_ELF-GAL_ELF-WAR_ELF-HOW,ELF-PIE-1_ELF-GAL-1_ELF-WAR-1_ELF-HOW-1,PIE-1_GAL-1_WAR-1_HOW-1,0,inner
LEG,53.69602259,137.684574,-68.68453837,LEG-1,OVA_SPY_WHO_NIX,LEG-OVA_LEG-SPY_LEG-WHO_LEG-NIX,LEG-OVA-1_LEG-SPY-1_LEG-WHO-1_LEG-NIX-1,OVA-1_SPY-1_WHO-1_NIX-1,0,outer
LAB,-37.12603241,-72.32935502,62.35637563,LAB-13_LAB-12,BUG_LAM_YAK_TAU,BUG-LAB_LAB-LAM_LAB-YAK_LAB-TAU,LAB-YAK-13_LAB-TAU-13_BUG-LAB-12_LAB-LAM-12_LAB-YAK-12,YAK-13_TAU-13_BUG-12_LAM-12_YAK-12,0,outer
