Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
33487,9,9,WIG,WOW,-64.40695662804484,-120.1385549630572,-20.20538968103797
33488,9,9,WIG,WOW,-63.9192314028665,-120.57705788518687,-20.185496560808176
33489,9,9,WIG,WOW,-63.43150617768816,-121.01556080731655,-20.16560344057838
33490,9,9,WIG,WOW,-62.943780952509826,-121.45406372944622,-20.145710320348584
33491,9,9,WIG,WOW,-62.45605572733149,-121.89256665157589,-20.12581720011879
33492,9,9,WIG,WOW,-61.96833050215315,-122.33106957370556,-20.105924079888993
33493,9,9,WIG,WOW,-61.48060527697481,-122.76957249583523,-20.086030959659197
33494,9,9,WIG,WOW,-60.992880051796476,-123.2080754179649,-20.066137839429402
33495,9,9,WIG,WOW,-60.50515482661814,-123.64657834009458,-20.046244719199606
33496,9,9,WIG,WOW,-60.0174296014398,-124.08508126222425,-20.02635159896981
33497,9,9,WIG,WOW,-59.52970437626146,-124.52358418435392,-20.006458478740015
33498,9,9,WIG,WOW,-59.041979151083126,-124.9620871064836,-19.98656535851022
33499,8,8,AMP,SEX,54.14611480351123,-110.33819731829803,-46.194177054821466
33500,8,8,AMP,SEX,54.33440301702246,-110.44314863659606,-45.574427739642935
33501,8,8,AMP,SEX,54.52269123053369,-110.5480999548941,-44.954678424464404
33502,8,8,AMP,SEX,54.710979444044916,-110.65305127319213,-44.33492910928587
33503,8,8,AMP,SEX,54.899267657556145,-110.75800259149017,-43.71517979410734
33504,8,8,AMP,SEX,55.08755587106737,-110.8629539097882,-43.09543047892881
33505,8,8,AMP,SEX,55.2758440845786,-110.96790522808624,-42.47568116375028
33506,8,8,AMP,SEX,55.46413229808983,-111.07285654638427,-41.85593184857175
33507,8,8,AMP,SEX,55.65242051160106,-111.17780786468231,-41.23618253339322
33508,8,8,AMP,SEX,55.840708725112286,-111.28275918298034,-40.61643321821469
33509,8,8,AMP,SEX,56.028996938623514,-111.38771050127838,-39.99668390303616
33510,8,8,AMP,SEX,56.21728515213474,-111.49266181957641,-39.376934587857626
33511,8,8,AMP,SEX,56.40557336564597,-111.59761313787445,-38.757185272679095
33512,8,8,AMP,SEX,56.5938615791572,-111.70256445617248,-38.137435957500564
33513,8,8,AMP,SEX,56.78214979266843,-111.80751577447052,-37.51768664232203
33514,8,8,AMP,SEX,56.970438006179656,-111.91246709276855,-36.8979373271435
33515,8,8,AMP,SEX,57.158726219690884,-112.01741841106659,-36.27818801196497
33516,8,8,AMP,SEX,57.34701443320211,-112.12236972936462,-35.65843869678644
33517,8,8,AMP,SEX,57.53530264671334,-112.22732104766266,-35.03868938160791
33518,8,8,AMP,SEX,57.72359086022457,-112.33227236596069,-34.41894006642938
33519,8,8,AMP,SEX,57.9118790737358,-112.43722368425873,-33.79919075125085
