Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
11822,5,5,HOW,REF,-13.88633941966161,106.31963782251287,16.08515431736673
11823,5,5,HOW,REF,-14.377834336707766,106.0342742898049,16.413112919849137
11824,5,5,HOW,REF,-14.869329253753921,105.74891075709692,16.741071522331545
11825,5,5,HOW,REF,-15.360824170800077,105.46354722438895,17.069030124813953
11826,5,5,HOW,REF,-15.852319087846233,105.17818369168097,17.39698872729636
11827,5,5,HOW,REF,-16.34381400489239,104.892820158973,17.724947329778768
11828,5,5,HOW,REF,-16.835308921938548,104.60745662626502,18.052905932261176
11829,5,5,HOW,REF,-17.326803838984706,104.32209309355704,18.380864534743584
11830,5,5,HOW,REF,-17.818298756030863,104.03672956084907,18.70882313722599
11831,5,5,HOW,REF,-18.30979367307702,103.75136602814109,19.0367817397084
11832,5,5,HOW,REF,-18.80128859012318,103.46600249543312,19.364740342190807
11833,5,5,HOW,REF,-19.292783507169336,103.18063896272514,19.692698944673214
11834,5,5,HOW,REF,-19.784278424215493,102.89527543001716,20.020657547155622
11835,5,5,HOW,REF,-20.27577334126165,102.60991189730919,20.34861614963803
11836,5,5,HOW,REF,-20.76726825830781,102.32454836460121,20.676574752120437
11837,5,5,HOW,REF,-21.258763175353966,102.03918483189324,21.004533354602845
11838,5,5,HOW,REF,-21.750258092400124,101.75382129918526,21.332491957085253
11839,5,5,HOW,REF,-22.24175300944628,101.46845776647729,21.66045055956766
11840,5,5,HOW,REF,-22.73324792649244,101.18309423376931,21.98840916205007
11841,5,5,HOW,REF,-23.224742843538596,100.89773070106133,22.316367764532476
11842,5,5,HOW,REF,-23.716237760584754,100.61236716835336,22.644326367014884
11843,5,5,HOW,REF,-24.20773267763091,100.32700363564538,22.97228496949729
11844,5,5,HOW,REF,-24.69922759467707,100.04164010293741,23.3002435719797
11845,5,5,HOW,REF,-25.190722511723227,99.75627657022943,23.628202174462107
11846,5,5,HOW,REF,-25.682217428769384,99.47091303752146,23.956160776944515
11847,5,5,HOW,REF,-26.17371234581554,99.18554950481348,24.284119379426922
11848,5,5,HOW,REF,-26.6652072628617,98.9001859721055,24.61207798190933
11849,5,5,HOW,REF,-27.156702179907857,98.61482243939753,24.940036584391738
11850,5,5,HOW,REF,-27.648197096954014,98.32945890668955,25.267995186874145
11851,5,5,HOW,REF,-28.139692014000172,98.04409537398158,25.595953789356553
11852,5,5,HOW,REF,-28.63118693104633,97.7587318412736,25.92391239183896
11853,5,5,HOW,REF,-29.122681848092487,97.47336830856563,26.25187099432137
11854,5,5,HOW,RUM,3.4390168466416564,116.84769678893468,3.799288279624829
11855,5,5,HOW,RUM,3.070556099283313,117.10266857786937,3.3199319312496574
11856,5,5,HOW,RUM,2.7020953519249695,117.35764036680405,2.840575582874486
11857,5,5,HOW,RUM,2.333634604566626,117.61261215573873,2.3612192344993144
11858,5,5,HOW,RUM,1.9651738572082826,117.86758394467341,1.8818628861241427
11859,5,5,HOW,RUM,1.5967131098499392,118.1225557336081,1.402506537748971
11860,5,5,HOW,RUM,1.2282523624915958,118.37752752254278,0.9231501893737992
