Pixel_i,Module1,Module2,Inner_Outer,Left_Right_Mid,Node1,Node2,X,Y,Z,Strip
3126,2,2,outer,left,PAW,ZIG,-107.90585910874083,31.485355822339997,-26.843925459455093,7
3127,2,2,outer,left,PAW,ZIG,-107.86639773290547,32.1281282739711,-26.718057197111783,7
3128,2,2,outer,left,PAW,ZIG,-107.82693635707011,32.7709007256022,-26.592188934768473,7
3129,2,2,outer,left,PAW,ZIG,-107.78747498123475,33.413673177233306,-26.466320672425162,7
3130,2,2,outer,left,PAW,ZIG,-107.7480136053994,34.05644562886441,-26.340452410081852,7
3131,2,2,outer,left,PAW,ZIG,-107.70855222956403,34.69921808049551,-26.21458414773854,7
3132,2,2,outer,left,PAW,ZIG,-107.66909085372868,35.341990532126616,-26.08871588539523,7
3133,2,2,outer,left,PAW,ZIG,-107.62962947789332,35.98476298375772,-25.96284762305192,7
3134,2,2,outer,left,PAW,ZIG,-107.59016810205796,36.62753543538882,-25.83697936070861,7
3135,2,2,outer,left,PAW,ZIG,-107.5507067262226,37.270307887019925,-25.7111110983653,7
3136,2,2,outer,left,PAW,ZIG,-107.51124535038724,37.91308033865103,-25.58524283602199,7
3137,2,2,outer,left,PAW,ZIG,-107.47178397455188,38.55585279028213,-25.45937457367868,7
3138,2,2,outer,left,PAW,ZIG,-107.43232259871652,39.198625241913234,-25.33350631133537,7
3139,2,2,outer,left,PAW,ZIG,-107.39286122288117,39.84139769354434,-25.20763804899206,7
3140,2,2,outer,left,PAW,ZIG,-107.35339984704581,40.48417014517544,-25.08176978664875,7
3141,2,2,outer,left,PAW,ZIG,-107.31393847121045,41.12694259680654,-24.95590152430544,7
3142,2,2,in_to_out,left,TAX,ZIG,-92.98839166771583,63.4177505999785,-8.794201290164432,7
3143,2,2,in_to_out,left,TAX,ZIG,-93.31001330855896,62.969722999491744,-9.14971111220519,7
3144,2,2,in_to_out,left,TAX,ZIG,-93.6316349494021,62.52169539900499,-9.50522093424595,7
3145,2,2,in_to_out,left,TAX,ZIG,-93.95325659024523,62.07366779851824,-9.860730756286708,7
3146,2,2,in_to_out,left,TAX,ZIG,-94.27487823108837,61.62564019803148,-10.216240578327467,7
3147,2,2,in_to_out,left,TAX,ZIG,-94.5964998719315,61.17761259754473,-10.571750400368225,7
3148,2,2,in_to_out,left,TAX,ZIG,-94.91812151277463,60.72958499705798,-10.927260222408984,7
3149,2,2,in_to_out,left,TAX,ZIG,-95.23974315361777,60.28155739657122,-11.282770044449743,7
3150,2,2,in_to_out,left,TAX,ZIG,-95.5613647944609,59.83352979608447,-11.638279866490501,7
3151,2,2,in_to_out,left,TAX,ZIG,-95.88298643530403,59.38550219559772,-11.99378968853126,7
3152,2,2,in_to_out,left,TAX,ZIG,-96.20460807614717,58.93747459511096,-12.349299510572019,7
3153,2,2,in_to_out,left,TAX,ZIG,-96.5262297169903,58.48944699462421,-12.704809332612777,7
