Pixel_i,Module,Node1,Node2,X,Y,Z
10077,14,GIG,IRE,433.242620157557,-4.519569261055016,145.63008374675752
10078,14,GIG,IRE,433.10427629328217,-4.050000557398569,146.06703071377746
10079,14,GIG,IRE,432.96593242900735,-3.580431853742122,146.5039776807974
10080,14,GIG,LIE,438.2349193955479,-22.96338601655382,129.04049683140894
10081,14,GIG,LIE,437.97015179109576,-23.56359203310764,129.0548946628179
10082,14,GIG,LIE,437.70538418664364,-24.16379804966146,129.06929249422686
10083,14,GIG,LIE,437.4406165821915,-24.76400406621528,129.0836903256358
10084,14,GIG,LIE,437.1758489777394,-25.364210082769098,129.09808815704477
10085,14,GIG,LIE,436.9110813732873,-25.964416099322918,129.11248598845373
10086,14,GIG,LIE,436.64631376883517,-26.564622115876737,129.12688381986268
10087,14,GIG,LIE,436.38154616438305,-27.164828132430557,129.14128165127164
10088,14,GIG,LIE,436.11677855993094,-27.765034148984377,129.1556794826806
10089,14,GIG,LIE,435.8520109554788,-28.365240165538196,129.17007731408955
10090,14,GIG,LIE,435.5872433510267,-28.965446182092016,129.1844751454985
10091,14,GIG,LIE,435.3224757465746,-29.565652198645836,129.19887297690747
10092,14,GIG,LIE,435.05770814212246,-30.165858215199655,129.21327080831642
10093,14,GIG,LIE,434.79294053767035,-30.766064231753475,129.22766863972538
10094,14,GIG,LIE,434.52817293321823,-31.366270248307295,129.24206647113434
10095,14,GIG,LIE,434.2634053287661,-31.966476264861114,129.2564643025433
10096,14,GIG,LIE,433.998637724314,-32.566682281414934,129.27086213395225
10097,14,GIG,LIE,433.7338701198619,-33.166888297968754,129.2852599653612
10098,14,GIG,LIE,433.46910251540976,-33.76709431452257,129.29965779677016
10099,14,GIG,LIE,433.20433491095764,-34.36730033107639,129.31405562817912
10100,14,GIG,LIE,432.9395673065055,-34.96750634763021,129.32845345958808
10101,14,GIG,LIE,432.6747997020534,-35.56771236418403,129.34285129099703
10102,14,GIG,LIE,432.4100320976013,-36.16791838073785,129.357249122406
10103,14,GIG,LIE,432.14526449314917,-36.76812439729167,129.37164695381495
10104,14,GIG,LIE,431.88049688869705,-37.36833041384549,129.3860447852239
10105,14,GIG,LIE,431.61572928424494,-37.96853643039931,129.40044261663286
10106,14,GIG,LIE,431.3509616797928,-38.56874244695313,129.41484044804182
10107,14,GIG,LIE,431.0861940753407,-39.16894846350695,129.42923827945077
10108,14,GIG,LIE,430.8214264708886,-39.76915448006077,129.44363611085973
10109,14,GIG,LIE,430.55665886643646,-40.36936049661459,129.45803394226868
10110,14,GIG,LIE,430.29189126198435,-40.96956651316841,129.47243177367764
10111,14,GIG,LIE,430.02712365753223,-41.56977252972223,129.4868296050866
10112,14,GIG,LIE,429.7623560530801,-42.16997854627605,129.50122743649555
10113,14,GIG,LIE,429.497588448628,-42.77018456282987,129.5156252679045
10114,14,GIG,LIE,429.2328208441759,-43.37039057938369,129.53002309931347
10115,14,GIG,LIE,428.96805323972376,-43.97059659593751,129.54442093072242
10116,14,GIG,LIE,428.70328563527164,-44.57080261249133,129.55881876213138
10117,14,GIG,LIE,428.4385180308195,-45.17100862904515,129.57321659354034
10118,14,GIG,LIE,428.1737504263674,-45.77121464559897,129.5876144249493
10119,14,GIG,LIE,427.9089828219153,-46.37142066215279,129.60201225635825
10120,14,GIG,LIE,427.64421521746317,-46.971626678706606,129.6164100877672
10121,14,GIG,LIE,427.37944761301105,-47.571832695260426,129.63080791917616
10122,14,GIG,LIE,427.11468000855893,-48.172038711814245,129.64520575058512
10123,14,GIG,LIE,426.8499124041068,-48.772244728368065,129.65960358199408
10124,14,GIG,LIE,426.5851447996547,-49.372450744921885,129.67400141340303
10125,14,GIG,LIE,426.3203771952026,-49.972656761475704,129.688399244812
10126,14,GIG,LIE,426.05560959075046,-50.572862778029524,129.70279707622095
10127,14,GIG,LIE,425.79084198629835,-51.173068794583344,129.7171949076299
10128,14,GIG,LIE,425.52607438184623,-51.77327481113716,129.73159273903886
10129,14,GIG,LIE,425.2613067773941,-52.37348082769098,129.74599057044782
10130,14,GIG,LIE,424.996539172942,-52.9736868442448,129.76038840185677
10131,14,GIG,LIE,424.7317715684899,-53.57389286079862,129.77478623326573
10132,14,GIG,LIE,424.46700396403776,-54.17409887735244,129.78918406467469
10133,14,GIG,LIE,424.20223635958564,-54.77430489390626,129.80358189608364
10134,14,GIG,LIE,423.9374687551335,-55.37451091046008,129.8179797274926
10135,14,GIG,LIE,423.6727011506814,-55.9747169270139,129.83237755890156
10136,14,GIG,LIE,423.4079335462293,-56.57492294356772,129.8467753903105
10137,14,GIG,LIE,423.14316594177717,-57.17512896012154,129.86117322171947
10138,14,GIG,LIE,422.87839833732505,-57.77533497667536,129.87557105312843
10139,14,GIG,LIE,422.61363073287293,-58.37554099322918,129.88996888453738
10140,14,GIG,LIE,422.3488631284208,-58.975747009783,129.90436671594634
10141,14,GIG,LIE,422.0840955239687,-59.57595302633682,129.9187645473553
10142,14,GIG,LIE,421.8193279195166,-60.17615904289064,129.93316237876425
10143,14,GIG,LIE,421.55456031506446,-60.77636505944446,129.9475602101732
10144,14,GIG,LIE,421.28979271061235,-61.37657107599828,129.96195804158216
10145,14,GIG,LIE,421.02502510616023,-61.9767770925521,129.97635587299112
10146,14,GIG,LIE,420.7602575017081,-62.57698310910592,129.99075370440008
10147,14,GIG,LIE,420.495489897256,-63.17718912565974,130.00515153580903
10148,14,GIG,LIE,420.2307222928039,-63.77739514221356,130.019549367218
10149,14,GIG,LIE,419.96595468835176,-64.37760115876738,130.03394719862695
10150,14,GIG,LIE,419.70118708389964,-64.97780717532119,130.0483450300359
10151,14,GIG,LIE,419.4364194794475,-65.578013191875,130.06274286144486
10152,14,GIG,LIE,419.1716518749954,-66.17821920842881,130.07714069285382
10153,14,GIG,LIE,418.9068842705433,-66.77842522498263,130.09153852426277
10154,14,GIG,LIE,418.64211666609117,-67.37863124153644,130.10593635567173
10155,14,GIG,LIE,418.37734906163905,-67.97883725809025,130.1203341870807
10156,14,GIG,LIE,418.11258145718693,-68.57904327464406,130.13473201848964
10157,14,GIG,LIE,417.8478138527348,-69.17924929119788,130.1491298498986
10158,14,GIG,LAW,437.90909896001193,-22.456773710584052,129.29628861598505
10159,14,GIG,LAW,437.31851092002387,-22.550367421168104,129.5664782319701
10160,14,GIG,LAW,436.7279228800358,-22.643961131752157,129.83666784795517
10161,14,GIG,LAW,436.13733484004774,-22.73755484233621,130.10685746394023
10162,14,GIG,LAW,435.5467468000597,-22.83114855292026,130.3770470799253
10163,14,GIG,LAW,434.9561587600716,-22.924742263504314,130.64723669591035
10164,14,GIG,LAW,434.36557072008355,-23.018335974088366,130.9174263118954
10165,14,GIG,LAW,433.7749826800955,-23.11192968467242,131.18761592788047
10166,14,GIG,LAW,433.1843946401074,-23.20552339525647,131.45780554386553
10167,14,GIG,LAW,432.59380660011936,-23.299117105840523,131.7279951598506
10168,14,GIG,LAW,432.0032185601313,-23.392710816424575,131.99818477583565
10169,14,GIG,LAW,431.41263052014324,-23.486304527008627,132.2683743918207
10170,14,GIG,LAW,430.8220424801552,-23.57989823759268,132.53856400780577
10171,14,GIG,LAW,430.2314544401671,-23.673491948176732,132.80875362379084
10172,14,GIG,LAW,429.64086640017905,-23.767085658760784,133.0789432397759
10173,14,GIG,LAW,429.050278360191,-23.860679369344837,133.34913285576096
10174,14,GIG,LAW,428.4596903202029,-23.95427307992889,133.61932247174602
